filename,width,height,class,xmin,ymin,xmax,ymax
chee (422).jpg,612,408,cheetah,122,156,202,224
chee (423).jpg,612,408,cheetah,203,113,273,169
chee (424).jpg,612,612,cheetah,431,168,529,274
chee (425).jpg,612,408,cheetah,468,67,545,147
chee (426).jpg,612,511,cheetah,90,16,239,145
chee (427).jpg,612,388,cheetah,321,101,464,233
chee (428).jpg,612,392,cheetah,191,117,308,205
chee (430).jpg,612,459,cheetah,145,85,376,241
chee (431).jpg,612,408,cheetah,362,102,447,169
chee (432).jpg,612,408,cheetah,343,139,406,188
chee (433).jpg,407,612,cheetah,138,151,277,267
chee (434).jpg,612,374,cheetah,120,46,215,104
chee (435).jpg,612,398,cheetah,251,116,368,204
chee (436).jpg,612,398,cheetah,363,82,440,151
chee (437).jpg,612,413,cheetah,129,13,227,91
chee (438).jpg,612,402,cheetah,228,119,270,154
chee (439).jpg,404,612,cheetah,176,191,281,287
chee (440).jpg,612,401,cheetah,280,163,332,217
chee (441).jpg,612,414,cheetah,340,54,418,111
chee (442).jpg,612,395,cheetah,225,111,373,252
chee (443).jpg,612,408,cheetah,159,87,304,186
chee (444).jpg,612,408,cheetah,380,11,496,123
chee (445).jpg,612,408,cheetah,431,64,528,145
chee (447).jpg,612,407,cheetah,86,40,208,137
chee (447).jpg,612,407,cheetah,331,35,446,142
chee (448).jpg,408,612,cheetah,59,127,309,350
chee (450).jpg,612,408,cheetah,213,56,364,188
chee (451).jpg,612,408,cheetah,298,37,435,204
chee (452).jpg,612,459,cheetah,458,76,554,152
chee (453).jpg,612,612,cheetah,390,31,542,185
chee (454).jpg,612,408,cheetah,407,20,507,103
chee (456).jpg,612,408,cheetah,179,50,317,162
chee (457).jpg,612,406,cheetah,224,63,339,169
chee (461).jpg,612,408,cheetah,248,115,320,176
chee (462).jpg,612,408,cheetah,282,130,378,214
chee (463).jpg,612,408,cheetah,195,49,286,124
chee (464).jpg,612,404,cheetah,176,35,258,109
chee (465).jpg,612,462,cheetah,117,44,235,136
chee (466).jpg,612,342,cheetah,300,31,377,93
chee (467).jpg,612,521,cheetah,252,140,350,215
chee (468).jpg,612,408,cheetah,116,44,445,305
chee (469).jpg,612,407,cheetah,248,12,405,204
chee (470).jpg,612,358,cheetah,64,65,153,141
chee (471).jpg,612,408,cheetah,278,79,367,176
chee (472).jpg,612,408,cheetah,297,118,379,224
chee (473).jpg,408,612,cheetah,132,164,250,262
chee (474).jpg,612,408,cheetah,147,123,230,196
chee (475).jpg,408,612,cheetah,100,58,239,218
chee (476).jpg,612,408,cheetah,228,92,344,227
chee (477).jpg,408,612,cheetah,125,85,315,278
chee (478).jpg,612,408,cheetah,376,81,493,199
chee (479).jpg,408,612,cheetah,53,69,117,115
chee (480).jpg,408,612,cheetah,68,151,206,286
chee (481).jpg,612,408,cheetah,187,48,284,122
chee (482).jpg,453,612,cheetah,75,52,230,192
chee (482).jpg,453,612,cheetah,228,49,384,173
chee (483).jpg,612,495,cheetah,167,92,278,195
chee (488).jpg,612,424,cheetah,67,36,164,121
chee (488).jpg,612,424,cheetah,330,38,414,120
chee (488).jpg,612,424,cheetah,436,77,516,156
chee (489).jpg,612,408,cheetah,268,42,454,249
chee (490).jpg,612,408,cheetah,376,51,480,154
chee (491).jpg,612,408,cheetah,422,92,534,203
chee (492).jpg,612,439,cheetah,137,52,265,187
chee (493).jpg,612,408,cheetah,185,3,354,200
chee (496).jpg,612,490,cheetah,197,130,356,268
chee (498).jpg,612,407,cheetah,264,150,373,237
chee (500).jpg,612,367,cheetah,239,125,308,173
chee (501).jpg,612,408,cheetah,461,149,534,217
chee (502).jpg,612,406,cheetah,327,11,588,218
chee (503).jpg,612,408,cheetah,289,75,499,286
chee (504).jpg,612,504,cheetah,74,104,183,190
chee (507).jpg,612,408,cheetah,142,53,314,182
chee (508).jpg,612,408,cheetah,128,99,258,209
chee (509).jpg,612,408,cheetah,100,137,175,203
chee (512).jpg,612,547,cheetah,62,27,212,157
chee (514).jpg,552,612,cheetah,96,47,231,155
chee (515).jpg,612,408,cheetah,117,35,280,161
chee (519).jpg,612,459,cheetah,422,61,527,169
chee (523).jpg,612,408,cheetah,237,67,388,212
chee (526).jpg,612,612,cheetah,428,159,536,273
chee (527).jpg,612,511,cheetah,108,14,238,139
chee (528).jpg,612,408,cheetah,469,69,540,146
chee (529).jpg,569,612,cheetah,94,88,263,242
chee (530).jpg,612,408,cheetah,87,131,171,204
chee (531).jpg,612,452,cheetah,121,76,238,163
chee (532).jpg,612,408,cheetah,370,88,537,222
chee (533).jpg,612,434,cheetah,423,50,549,171
chee (534).jpg,612,443,cheetah,88,43,267,204
chee (536).jpg,612,400,cheetah,378,8,488,104
chee (537).jpg,612,380,cheetah,448,47,537,151
chee (538).jpg,612,408,cheetah,138,43,255,153
chee (540).jpg,612,413,cheetah,130,42,217,114
chee (541).jpg,612,404,cheetah,163,49,298,134
chee (546).jpg,612,408,cheetah,277,40,368,129
chee (547).jpg,612,408,cheetah,390,16,485,103
chee (548).jpg,612,407,cheetah,244,98,360,205
chee (549).jpg,408,612,cheetah,48,34,176,138
chee (550).jpg,612,407,cheetah,262,39,360,130
chee (552).jpg,612,410,cheetah,253,158,346,238
chee (553).jpg,612,408,cheetah,69,19,165,100
chee (554).jpg,612,401,cheetah,424,151,523,242
chee (555).jpg,612,404,cheetah,436,121,537,224
chee (556).jpg,612,401,cheetah,420,146,519,244
chee (557).jpg,612,398,cheetah,391,28,484,105
chee (565).jpg,612,408,cheetah,32,13,198,178
chee (566).jpg,612,408,cheetah,294,25,590,304
chee (567).jpg,612,408,cheetah,188,93,380,274
chee (568).jpg,612,408,cheetah,46,35,347,259
chee (572).jpg,612,408,cheetah,234,22,455,202
chee (574).jpg,408,612,cheetah,134,225,209,315
chee (575).jpg,612,459,cheetah,73,79,198,170
chee (577).jpg,397,612,cheetah,21,25,201,178
chee (579).jpg,612,468,cheetah,326,157,437,274
chee (580).jpg,612,359,cheetah,376,68,495,166
chee (582).jpg,612,440,cheetah,213,46,325,148
chee (583).jpg,405,612,cheetah,92,282,229,398
chee (584).jpg,612,407,cheetah,138,69,213,126
chee (585).jpg,612,487,cheetah,327,114,422,209
chee (586).jpg,612,489,cheetah,383,81,521,236
chee (588).jpg,612,408,cheetah,304,105,345,147
chee (590).jpg,612,502,cheetah,277,193,414,304
chee (592).jpg,612,408,cheetah,359,140,431,222
chee (594).jpg,612,408,cheetah,198,62,300,141
chee (598).jpg,612,408,cheetah,315,67,395,155
chee (602).jpg,408,612,cheetah,157,56,363,281
chee (603).jpg,612,408,cheetah,305,24,469,183
chee (604).jpg,612,399,cheetah,355,45,455,118
chee (605).jpg,612,399,cheetah,429,94,517,174
chee (606).jpg,612,453,cheetah,336,44,445,135
chee (607).jpg,423,612,cheetah,160,33,272,120
chee (608).jpg,612,407,cheetah,306,70,390,138
chee (608).jpg,612,407,cheetah,151,17,237,91
chee (609).jpg,612,408,cheetah,327,95,401,161
chee (610).jpg,612,408,cheetah,132,56,337,241
chee (611).jpg,612,408,cheetah,418,166,480,224
chee (612).jpg,612,408,cheetah,201,54,262,111
chee (613).jpg,612,408,cheetah,14,65,199,220
chee (614).jpg,612,408,cheetah,221,51,368,179
chee (615).jpg,398,612,cheetah,42,59,333,336
chee (616).jpg,612,422,cheetah,248,18,419,238
chee (619).jpg,612,407,cheetah,272,145,359,230
chee (620).jpg,612,408,cheetah,224,39,370,184
chee (621).jpg,612,399,cheetah,486,78,577,165
chee (623).jpg,595,612,cheetah,385,14,563,173
chee (624).jpg,612,612,cheetah,180,39,295,176
chee (628).jpg,612,408,cheetah,167,63,301,170
chee (629).jpg,612,428,cheetah,281,63,364,140
chee (630).jpg,612,407,cheetah,199,99,361,231
chee (631).jpg,612,408,cheetah,270,116,360,211
chee (632).jpg,612,408,cheetah,194,66,313,167
chee (633).jpg,612,408,cheetah,339,98,560,278
chee (634).jpg,612,408,cheetah,225,59,305,130
chee (635).jpg,408,612,cheetah,21,34,266,243
chee (636).jpg,612,409,cheetah,314,124,384,203
chee (638).jpg,490,612,cheetah,138,53,365,245
chee (641).jpg,612,408,cheetah,330,43,425,128
chee (642).jpg,612,408,cheetah,128,120,199,187
chee (643).jpg,518,612,cheetah,119,57,379,322
chee (644).jpg,612,394,cheetah,238,73,357,185
chee (647).jpg,612,421,cheetah,105,23,253,141
chee (648).jpg,612,408,cheetah,325,48,461,166
chee (649).jpg,612,408,cheetah,391,152,462,225
chee (650).jpg,612,408,cheetah,388,40,503,146
chee (651).jpg,612,408,cheetah,304,131,366,185
chee (652).jpg,612,388,cheetah,256,118,296,166
chee (653).jpg,612,408,cheetah,239,35,410,224
chee (654).jpg,612,409,cheetah,290,74,351,140
chee (655).jpg,612,408,cheetah,471,16,569,141
chee (656).jpg,612,420,cheetah,152,220,212,267
chee (657).jpg,612,408,cheetah,273,5,383,103
chee (658).jpg,612,417,cheetah,283,118,328,160
chee (659).jpg,408,612,cheetah,124,135,251,269
chee (660).jpg,612,321,cheetah,459,155,501,194
chee (661).jpg,612,408,cheetah,170,20,315,134
chee (662).jpg,612,408,cheetah,297,35,425,159
chee (663).jpg,612,406,cheetah,139,23,246,108
chee (663).jpg,612,406,cheetah,150,108,259,197
chee (663).jpg,612,406,cheetah,365,32,470,136
chee (664).jpg,412,612,cheetah,28,77,285,343
chee (666).jpg,344,612,cheetah,164,67,313,244
chee (667).jpg,612,408,cheetah,15,12,432,360
chee (668).jpg,612,408,cheetah,327,133,396,207
chee (669).jpg,612,408,cheetah,161,136,327,277
chee (670).jpg,612,406,cheetah,312,59,475,198
chee (672).jpg,612,408,cheetah,138,18,295,172
chee (673).jpg,612,351,cheetah,263,25,375,123
chee (674).jpg,612,408,cheetah,410,156,457,202
chee (675).jpg,612,408,cheetah,233,99,290,151
chee (676).jpg,612,411,cheetah,376,214,448,273
chee (677).jpg,612,578,cheetah,312,166,440,309
chee (678).jpg,612,419,cheetah,220,127,321,233
chee (679).jpg,612,392,cheetah,94,31,408,326
chee (680).jpg,612,408,cheetah,73,54,202,150
chee (681).jpg,612,408,cheetah,264,15,496,186
chee (683).jpg,612,408,cheetah,321,61,436,154
chee (684).jpg,612,399,cheetah,217,116,346,234
chee (687).jpg,612,413,cheetah,206,116,279,184
chee (688).jpg,612,410,cheetah,156,49,370,221
chee (689).jpg,612,408,cheetah,274,218,332,264
chee (690).jpg,612,408,cheetah,234,108,325,184
chee (692).jpg,612,459,cheetah,257,39,389,144
chee (694).jpg,612,408,cheetah,211,75,307,155
chee (696).jpg,612,408,cheetah,398,97,494,187
chee (697).jpg,612,344,cheetah,143,21,265,111
chee (698).jpg,409,612,cheetah,43,126,194,253
chee (699).jpg,408,612,cheetah,56,117,253,288
chee (700).jpg,612,381,cheetah,218,62,303,132
chee (701).jpg,612,398,cheetah,205,53,286,135
chee (701).jpg,612,398,cheetah,76,62,172,135
chee (701).jpg,612,398,cheetah,298,109,382,191
chee (702).jpg,612,405,cheetah,247,29,362,124
chee (703).jpg,612,361,cheetah,115,24,254,170
chee (704).jpg,612,408,cheetah,146,100,271,224
chee (705).jpg,612,408,cheetah,121,95,267,220
chee (706).jpg,612,481,cheetah,471,248,527,306
chee (707).jpg,612,408,cheetah,426,83,534,190
chee (708).jpg,612,459,cheetah,274,27,395,132
chee (709).jpg,612,407,cheetah,275,150,375,239
chee (710).jpg,612,408,cheetah,161,59,260,131
chee (711).jpg,612,408,cheetah,179,104,258,183
chee (714).jpg,612,418,cheetah,417,159,462,216
chee (715).jpg,612,249,cheetah,327,78,384,130
chee (716).jpg,395,612,cheetah,55,92,285,284
chee (717).jpg,612,397,cheetah,459,152,513,219
chee (718).jpg,612,408,cheetah,312,24,440,148
chee (720).jpg,612,408,cheetah,271,77,363,156
chee (721).jpg,472,612,cheetah,134,134,258,243
chee (722).jpg,612,408,cheetah,383,180,445,235
chee (723).jpg,612,408,cheetah,250,59,398,211
chee (724).jpg,408,612,cheetah,84,56,214,177
chee (726).jpg,612,410,cheetah,235,82,294,128
chee (727).jpg,612,398,cheetah,210,119,347,248
chee (728).jpg,612,408,cheetah,312,102,384,169
chee (731).jpg,612,481,cheetah,468,155,555,234
chee (732).jpg,612,408,cheetah,412,133,499,218
chee (733).jpg,612,481,cheetah,466,160,556,232
chee (734).jpg,612,383,cheetah,233,67,320,151
chee (735).jpg,612,408,cheetah,272,90,337,165
chee (738).jpg,612,452,cheetah,112,78,233,166
chee (740).jpg,1000,667,cheetah,495,133,812,486
chee (741).jpg,1000,667,cheetah,240,194,622,470
chee (742).jpg,600,900,cheetah,175,256,290,369
chee (743).jpg,600,900,cheetah,227,141,565,425
chee (744).jpg,600,480,cheetah,459,85,580,205
chee (745).jpg,600,400,cheetah,293,25,470,182
chee (746).jpg,600,1066,cheetah,108,350,353,570
chee (747).jpg,600,400,cheetah,317,111,397,185
chee (748).jpg,600,900,cheetah,90,203,499,559
chee (749).jpg,600,600,cheetah,221,192,322,271
chee (750).jpg,600,400,cheetah,187,2,427,188
chee (751).jpg,502,343,cheetah,331,115,380,170
chee (752).jpg,1000,634,cheetah,594,132,802,333
chee (753).jpg,800,476,cheetah,519,157,642,285
chee (754).jpg,700,467,cheetah,125,23,475,289
chee (755).jpg,4896,3264,cheetah,1251,154,3185,2067
chee (756).jpg,720,480,cheetah,509,74,630,190
chee (757).jpg,1120,747,cheetah,384,65,558,207
chee (758).jpg,1920,1080,cheetah,1219,143,1619,553
chee (759).jpg,3000,2000,cheetah,1729,145,2253,558
chee (760).jpg,1433,955,cheetah,1017,138,1293,455
chee (761).jpg,1280,720,cheetah,254,106,467,327
chee (762).jpg,1900,1068,cheetah,790,30,1370,586
chee (763).jpg,590,390,cheetah,225,1,348,120
chee (763).jpg,590,390,cheetah,28,156,184,286
chee (763).jpg,590,390,cheetah,431,163,572,288
chee (764).jpg,2048,1536,cheetah,7,267,1021,1350
chee (764).jpg,2048,1536,cheetah,1037,244,2048,1348
chee (765).jpg,2116,1416,cheetah,795,271,1002,445
chee (766).jpg,2500,2077,cheetah,1495,1029,1821,1368
chee (767).jpg,1280,847,cheetah,230,24,1072,833
chee (768).jpg,1920,1080,cheetah,133,58,467,374
chee (769).jpg,976,549,cheetah,329,40,506,227
chee (770).jpg,853,1280,cheetah,475,145,764,406
chee (771).jpg,2500,1663,cheetah,1931,174,2269,511
chee (772).jpg,676,480,cheetah,542,102,618,191
chee (773).jpg,1600,1060,cheetah,417,100,741,363
chee (774).jpg,1000,560,cheetah,343,69,567,253
chee (775).jpg,1024,700,cheetah,10,1,824,700
chee (776).jpg,1024,700,cheetah,257,134,383,205
chee (776).jpg,1024,700,cheetah,474,274,552,344
chee (776).jpg,1024,700,cheetah,640,248,730,327
chee (777).jpg,360,500,cheetah,78,39,201,149
chee (778).jpg,1280,859,cheetah,899,78,1114,253
chee (779).jpg,2048,1365,cheetah,446,26,1057,637
chee (780).jpg,1494,1155,cheetah,1096,192,1321,438
chee (781).jpg,2048,1366,cheetah,1661,467,1971,845
chee (782).jpg,1000,625,cheetah,640,14,840,185
chee (783).jpg,1908,1146,cheetah,418,79,801,449
chee (784).jpg,1200,800,cheetah,420,17,933,517
chee (785).jpg,1280,853,cheetah,627,280,846,491
chee (786).jpg,1180,800,cheetah,641,103,908,377
chee (787).jpg,1440,810,cheetah,1156,144,1365,344
chee (788).jpg,1000,562,cheetah,167,231,266,314
chee (789).jpg,1000,667,cheetah,222,229,363,351
chee (790).jpg,1712,944,cheetah,928,112,1131,314
chee (791).jpg,5472,3648,cheetah,2937,457,4337,1716
chee (792).jpg,1400,840,cheetah,133,18,1069,821
chee (793).jpg,997,582,cheetah,354,93,564,301
chee (794).jpg,4741,2896,cheetah,668,417,1417,991
chee (795).jpg,1300,1029,cheetah,177,61,1193,996
chee (796).jpg,5666,3110,cheetah,323,705,1212,1494
chee (82).jpg,1000,667,cheetah,350,153,589,345
chee (87).jpg,3967,2640,cheetah,1792,1148,2032,1327
chee (88).jpg,5200,3431,cheetah,3346,1329,4098,2270
chee (89).jpg,1024,683,cheetah,203,116,564,425
chee (90).jpg,1400,840,cheetah,369,29,638,245
chee (92).jpg,1000,666,cheetah,425,6,713,308
chee (94).jpg,1000,667,cheetah,413,123,648,375
chee (95).jpg,1000,1500,cheetah,273,391,548,663
chee (96).jpg,1000,1500,cheetah,406,336,714,594
chimp (100).jpg,612,408,chimpanzee,173,28,440,294
chimp (101).jpg,408,612,chimpanzee,129,99,289,262
chimp (102).jpg,459,612,chimpanzee,41,84,379,457
chimp (103).jpg,408,612,chimpanzee,48,27,311,388
chimp (104).jpg,408,612,chimpanzee,91,107,271,273
chimp (105).jpg,408,612,chimpanzee,74,134,239,271
chimp (106).jpg,408,612,chimpanzee,32,31,408,500
chimp (107).jpg,612,459,chimpanzee,269,9,517,200
chimp (107).jpg,612,459,chimpanzee,215,190,373,346
chimp (108).jpg,408,612,chimpanzee,76,48,283,223
chimp (108).jpg,408,612,chimpanzee,89,220,218,317
chimp (109).jpg,612,408,chimpanzee,294,31,461,176
chimp (109).jpg,612,408,chimpanzee,278,176,383,273
chimp (110).jpg,612,408,chimpanzee,294,30,451,167
chimp (110).jpg,612,408,chimpanzee,295,171,366,253
chimp (111).jpg,408,612,chimpanzee,82,129,261,309
chimp (112).jpg,408,612,chimpanzee,131,129,319,335
chimp (113).jpg,612,394,chimpanzee,325,79,429,194
chimp (113).jpg,612,394,chimpanzee,26,63,131,162
chimp (114).jpg,612,408,chimpanzee,55,117,138,249
chimp (114).jpg,612,408,chimpanzee,323,63,427,221
chimp (115).jpg,459,612,chimpanzee,45,241,284,441
chimp (116).jpg,408,612,chimpanzee,118,57,372,303
chimp (117).jpg,612,408,chimpanzee,4,1,454,408
chimp (118).jpg,612,459,chimpanzee,314,53,526,236
chimp (119).jpg,612,459,chimpanzee,81,121,165,207
chimp (119).jpg,612,459,chimpanzee,436,119,521,221
chimp (120).jpg,612,408,chimpanzee,369,24,580,262
chimp (121).jpg,612,344,chimpanzee,347,5,553,206
chimp (122).jpg,612,344,chimpanzee,291,30,463,211
chimp (123).jpg,612,408,chimpanzee,35,113,163,257
chimp (123).jpg,612,408,chimpanzee,275,85,398,239
chimp (124).jpg,612,408,chimpanzee,148,59,310,204
chimp (125).jpg,612,408,chimpanzee,204,49,346,177
chimp (126).jpg,612,429,chimpanzee,318,45,462,185
chimp (127).jpg,612,408,chimpanzee,59,40,388,342
chimp (128).jpg,612,353,chimpanzee,10,5,385,353
chimp (129).jpg,612,459,chimpanzee,133,5,314,176
chimp (130).jpg,612,408,chimpanzee,240,67,343,174
chimp (131).jpg,612,459,chimpanzee,308,68,440,215
chimp (131).jpg,612,459,chimpanzee,132,239,223,335
chimp (132).jpg,612,459,chimpanzee,323,97,406,235
chimp (133).jpg,464,612,chimpanzee,136,32,294,206
chimp (134).jpg,612,584,chimpanzee,228,38,431,253
chimp (135).jpg,612,612,chimpanzee,25,24,497,483
chimp (136).jpg,357,612,chimpanzee,128,32,259,166
chimp (137).jpg,549,612,chimpanzee,154,17,364,238
chimp (138).jpg,612,485,chimpanzee,52,129,148,250
chimp (138).jpg,612,485,chimpanzee,263,148,352,268
chimp (138).jpg,612,485,chimpanzee,410,155,485,248
chimp (138).jpg,612,485,chimpanzee,510,135,588,244
chimp (138).jpg,612,485,chimpanzee,335,265,401,342
chimp (139).jpg,408,612,chimpanzee,31,103,345,448
chimp (140).jpg,612,506,chimpanzee,251,29,467,237
chimp (141).jpg,612,522,chimpanzee,215,43,440,225
chimp (142).jpg,464,612,chimpanzee,100,27,310,217
chimp (143).jpg,520,612,chimpanzee,168,80,321,242
chimp (144).jpg,508,612,chimpanzee,136,77,286,203
chimp (145).jpg,612,330,chimpanzee,273,18,356,134
chimp (146).jpg,612,447,chimpanzee,250,143,322,246
chimp (147).jpg,612,446,chimpanzee,236,140,320,234
chimp (148).jpg,612,408,chimpanzee,304,64,408,222
chimp (149).jpg,459,612,chimpanzee,127,203,277,335
chimp (151).jpg,428,612,chimpanzee,153,158,291,264
chimp (152).jpg,445,612,chimpanzee,48,106,434,439
chimp (153).jpg,412,612,chimpanzee,110,16,348,248
chimp (154).jpg,612,410,chimpanzee,110,82,242,197
chimp (155).jpg,403,612,chimpanzee,78,58,401,612
chimp (156).jpg,408,612,chimpanzee,4,4,406,612
chimp (157).jpg,408,612,chimpanzee,1,40,407,610
chimp (158).jpg,407,612,chimpanzee,3,2,407,604
chimp (159).jpg,612,408,chimpanzee,38,4,450,386
chimp (160).jpg,612,407,chimpanzee,97,2,515,407
chimp (161).jpg,612,570,chimpanzee,210,20,474,246
chimp (162).jpg,542,612,chimpanzee,204,18,377,225
chimp (163).jpg,359,612,chimpanzee,139,34,301,174
chimp (164).jpg,612,612,chimpanzee,20,5,538,494
chimp (165).jpg,612,407,chimpanzee,181,146,231,220
chimp (165).jpg,612,407,chimpanzee,364,134,420,209
chimp (165).jpg,612,407,chimpanzee,511,124,571,198
chimp (165).jpg,612,407,chimpanzee,81,70,140,135
chimp (166).jpg,612,408,chimpanzee,198,107,284,217
chimp (167).jpg,612,408,chimpanzee,5,4,432,349
chimp (168).jpg,611,612,chimpanzee,7,30,577,557
chimp (169).jpg,612,406,chimpanzee,260,10,463,214
chimp (170).jpg,612,417,chimpanzee,269,45,437,191
chimp (171).jpg,612,406,chimpanzee,138,68,302,280
chimp (171).jpg,612,406,chimpanzee,228,17,453,200
chimp (172).jpg,612,489,chimpanzee,179,25,383,308
chimp (173).jpg,612,407,chimpanzee,154,46,459,378
chimp (174).jpg,612,407,chimpanzee,180,42,470,353
chimp (175).jpg,612,407,chimpanzee,194,38,436,328
chimp (176).jpg,612,406,chimpanzee,232,8,437,227
chimp (177).jpg,612,408,chimpanzee,105,4,518,390
chimp (178).jpg,612,408,chimpanzee,157,131,265,246
chimp (178).jpg,612,408,chimpanzee,269,67,352,169
chimp (178).jpg,612,408,chimpanzee,335,30,429,119
chimp (178).jpg,612,408,chimpanzee,489,93,564,185
chimp (179).jpg,612,407,chimpanzee,210,4,478,346
chimp (180).jpg,612,408,chimpanzee,193,85,351,228
chimp (181).jpg,612,408,chimpanzee,290,144,384,268
chimp (182).jpg,612,506,chimpanzee,323,110,404,188
chimp (183).jpg,408,612,chimpanzee,154,162,255,261
chimp (183).jpg,408,612,chimpanzee,38,237,183,370
chimp (184).jpg,411,612,chimpanzee,1,41,411,586
chimp (185).jpg,612,408,chimpanzee,247,4,612,393
chimp (186).jpg,489,612,chimpanzee,2,25,489,582
chimp (187).jpg,612,459,chimpanzee,144,74,375,332
